"headline","subheadline","author","content","newspaper","date"
"Rechazan destituir e inhabilitar a Pedro Chávarry","","DIARIO CORREO.PE","Así se podría resumir la jornada ayer en la Comisión Permanente del Congreso de la República, quienes evaluaron las acusaciones constitucionales presentadas en contra del extitular del Ministerio Público (MP) Pedro Gonzalo Chávarry Vallejos, quien gracias a esta decisión permanecerá como fiscal supremo.","correo","2019/05/29"
"Tema del día: Todos tienen derecho a la dignidad y seguridad jurídica","","CORREO TEMÁ DEL DÍA","Durante el debate de casi diez horas en la Comisión Permanente, se discutió el informe final elaborado por el legislador Juan Sheput respecto a las acusaciones contra el ex fiscal superior Pedro Chávarry, incluidas cargos relacionados con organización criminal y otros actos ilegítimos.","correo","2019/05/29"
"Fiscal Tomás Gálvez también fue salvado","Tomás Gálvez se defiende en la Comisión Permanente.","'Diario Correo'; 'Pedro Chávarry'","Según el informe de Sheput, el fiscal habría incurrido en diversos delitos vinculados a ‘Los Cuellos Blancos del Puerto’. La Comisión Permanente rechazó todas las acusaciones y posibles sanciones contra Tomás Gálvez.","correo","2019/05/29"
"Defendimiento de Pedro Chávarry frente a acusaciones","Ninguna sanción logró pasar.;‘Diario Correo’""","En medio del debate, Chávarry insistió en que nunca cometió delitos ni violó alguna normatividad constitucional, criticando indirectamente acciones gubernamentales dirigidas hacia figuras judiciales independientes.","","correo","2019/05/29"
"Gobierno critica manejo legislativo de procesos judiciales","Ministros no comparecerán al Congreso","Daniel Salaverry, Titular del Congreso","Salaverry expresó su malestar por la falta de cooperación ministerial en sesiones clave, sugiriendo que esto representa una forma antidemocrática de proceder.","correo","2019/05/29"
"Prolongación de prisión preventiva de Victor Muñoz Cuba","PJ amplía 12 meses la prisión preventiva de sobrino de Jorge Cuba","","Tras solicitudes del Ministerio Público, la primera sala penal extendió la prisión preventiva debido al riesgo percibido de fuga asociado al caso de corrupción ligado a Odebrecht.","correo","2019/05/29"
"Tras breve sesión, no se precisa fecha de próxima cita.","","Luciana Leon","En la sesión legislativa, liderada por figuras destacadas incluidas Francisco Villavicencio y varios miembros del partido APRA, no se determinó la fecha exacta para futuros encuentros.","correo","2019/05/29"
"Tres individuos capturados por ataques domésticos.","","DIARIO CORREO","Agentes de la Región Policial de Lima arrestaron a tres sospechosos relacionados con incidentes violentos hacia sus compañeras sentimentales en distintas localidades.","correo","2019/05/29"
"Homicida de Eyvi Agreda Sentenciado a 35 años de Prisión.","","CORREO","Carlos Huálpa Valenzuela fue hallado culpable de atentar gravemente contra la integridad de Eyvi Agreda durante un viaje en autobús, resultando en múltiples lesionados.","correo","2019/05/29"
"Cae banda que pretendía asaltar Banco Surco-Marcos Paz.","","CORREO","Dos supuestos ladrones asociados a fuerzas militares fueron interceptados cerca de un banco en Lima gracias a operadores especiales.","correo","2019/05/29"
"Evaluación de subsidio para Grilletes Electrónicos Discutida.","","CORREO","Se contempla extender el programa de monitoreo electrónico ajustando precios para incrementar accesibilidad.","correo","2019/05/29"
"Municipalidad de Miraflores Implementará Alertas Antiselúricas.","","CORREO","Miraflores adoptará sistemas de advertencia anticipada frente a eventos sísmicos potencialmente destructores.","correo","2019/05/29"
"Pueblo Libre Declara Emergencia por Alta Criminalidad.","","CORREO","Ante cifras alarmantes de delitos, Pueblo Libre promoverá renovaciones urgentes en servicios de seguridad urbana.","correo","2019/05/29"
"Inauguración de Simulador de Autobuses en Feria de Seguridad.","","CORREO","Un innovador simulador vehicular se exhibirá en una exposición enfocada en mejorar protocolos de seguridad vial.","correo","2019/05/29"
"Ajuste Corporativo: Schloth Ingenieros Reduce Capital Social.","","Schloth Ingenieros SAC","Conforme a regulaciones legales, se procedió a la redistribución monetaria correspondiente a la reducción de capital autorizada.","correo","2019/05/29"
"SOUTH AMERICAN GEOSCIENCES Anuncia Disminución de Capacidad Financiera.","","South American Geosciences SA","Siguiendo directrices corporativas, se realizará una distribución equitativa de fondos derivados de la rebaja de capital registrado.","correo","2019/05/29"
"Controla la Presión arterial y reduce el Estrés.","","Na","As enfermedades cardiovasculares no discriminan género ni menos edad. Y aunque se cree que estas alteraciones sólo aparecen en adultos mayores, en el Perú cada año nacen aproximadamente 6000 niños con problemas cardíacos.","correo","2019/05/29"
"Causas Cardiológicas Infantiles Explicadas","","Rosario Rojas","Según el Instituto Nacional de Salud del Niño de San Borja, Alfredo Homès, cirujano cardiólogo de la Clínica Internacional, menciona que predominan los defectos cardíacos congénitos tales como el Conducto Artero Persistente (CAP), la Comunicación Interauricular (CIA), la Comunicación Intravenosa (CV) y la Tetralogía de Fallot.","correo","2019/05/29"
"Síntomas Generales de Problemas Cardiovasculares Infantis","","Rosario Rojas","Los signos de alerta generalizados incluyen el color azul en los labios y debajo de las uñas, diagnosticado como soplo por un profesional de medicina, además del exceso de cansancio en actividades cotidianas y dificultad para aumentar peso y altura normalmente.","correo","2019/05/29"
"Técnicas Médicas Recomendadas para Tratar Malformaciones Cardiacas","","Rosario Rojas","Alfredo Homès destaca que la cura definitiva pasa por la cirugía debido a la falta de tratamiento farmacológico efectivo completo, aunque algunos medicamentos ayudan a mitigar los síntomas.","correo","2019/05/29"
"Pautas Preventivas Durante Embarazos para Evitar Cardiopatías","","Rosario Rojas","Recomienda llevar control prenatal riguroso y revisar regularmente a los neonatos especialmente aquellos con riesgos adicionales como el síndrome de Down.","correo","2019/05/29"
"Efectividad Global de las Vacunas.","","Vacunar preventivamente puede salvar entre 2 a 3 millones de vidas anualmente. Sin embargo, todavía hay más de 19 millones de niños no completamente inoculados mundialmente, según datos de la Organización Mundial de la Salud.","","correo","2019/05/29"
"Acoso Laboral y Sus Implicaciones Legales","","Juan Carlos Benave Meza","Ante cualquier hostigamiento laboral, el trabajador debe responsabilizar formalmente al empleador solicitando cesar las acciones o proceder legalmente. Esto involucra recibir consejería emocional y mantener distancia de información alarmante encontrada online.","correo","2019/05/29"
"Lucha Legal Frente a Absolución de Funcionario Peruano","","Anunció Apelación","Después de la absolución del ex gobernador Cesar Álvarez Aguilar por cargos relacionados con malversación de fondos y colusión, la Fiscalía planea apelar dicho fallo argumentando evidencia sustancial de culpabilidad.","correo","2019/05/29"
"Asistencia Post-Sismo en Regiones Afectedas","","Declaración Oficial","Mediante un decreto supremo, el gobierno declara estado de emergencia en varias provincias luego del devastador sismo de magnitud 8.0, asegurando financiamiento necesario para recuperación rápida.","correo","2019/05/29"
"Fiscalización de Eventos Deportivos Locales","","Raúl Bravo Detenido","Detienen a exjugadores profesionales por manipulación de resultados deportivos, destacando la importancia de supervisar eventos competitivos para proteger integridad del juego.","correo","2019/05/29"
"Fallece Padre de Rapero Vico C,""Rafael Conrado Lozada, padre del intérprete de ‘La Vecinita’ y ‘Bomba para Afincar’, murió a los 73 años en Orlando, Florida, después de sufrir tres ataques cardíacos."""," NA","Clara Seminara Acusa a Comediante Enrique Espejo\nActriz revela que sufrió acoso \n‘Defensa’: Karin Marengo, esposa de JB, declaró en RPP que ‘ellos se estuvieron jugando de manos, no hubo tocamientos indebidos’.","","correo","2019/05/29"
"Tibia Reactión.\nSemínara Contó Que Jorge Benavides Minimizó Lo Ocurrencioso,\n'Seminara Relató:\n\...'\'","\nDiario Correo.pe\nUniversitario Copa Libertadores\nBlanquirroja UEFA Champions League\nConjunto Peruano No Pudo Revertir La Goleda\nMelgar Empató Sin Goles Y Se Despidió De La Copa Sudamericana\nEl Cuadro Arequipeno Cayó Goleado En El Partido De Ida Por 6-0 Y Debía Anotar Siete Tantos Para Avanzar A Los Octavos De Final.""","","","correo","2019/05/29"
"Sudamerican Football Association\nSporting Cristal Consigue Su Calificación A Los Octavos De Final De La Copa Sudamericana Tras Golpear Nuevo Por 3-0 A Unión Española (6–0 En El Global)\nLos Celestes Recibieron Al Cuadro Chileno En El Estadio Municipal Alejandro Villanueva Con Ventaja Ganada En Casa;\nPoco Pasó Antes De Que El Primer Tiempo Transcurriera, Pero El Arbitro Cobró Penal.\nEste Misma Delantero Ejecutó El Disparo Y Inició La Victoria.","","","","correo","2019/05/29"
