"headline","subheadline","author","content","newspaper","date"
"PRECIO CAMBIARIO BCR deja que dólar supere los S/. 2.90","","","Pasó esta barrera por primera vez desde noviembre del 2009. Mayoría de bancos y analistas prevén que seguirá al alza.","gestion","2014/10/03"
"HIPOTECAS SUBIRON POR ALZA DEL TIPO DE CAMBIO","LA FUERTE DEMANDA DE DIVISAS INFLUYÓ","","La fuerte demanda de dólares de extranjeros, bancos, AFP y grandes empresas hizo que el dólar subiera hasta los S/. 2.905. El BCR no salió a vender divisas, pero intentó atenuar la subida mediante una subasta de bonos CDR.","gestion","2014/10/03"
"PRESIDENTE ANUNCIÓ PLAN DE EXPANSIÓN EMPRESARIAL LATINOAMERICANO","ESPAGUA SERVE COMO PUENTE PARA COMPETIDORES INTERNACIONALES","JULIO LIRA SEGURA","En la XXV Asamblea del Consejo Empresarial de América Latina celebrada en Madrid, líderes empresariales debaten sobre el futuro económico de la región. Mariano Rajoy y César Alierta hicieron declaraciones clave durante el evento.","gestion","2014/10/03"
"TETRA PK BUSCA DESARROLLAR NUEVOS NICHE DE PRODUCTOS ALIMENTARIOS","APUESTA POR ATENDER CON ENVASES A ALIMENTOS ENRICHERCIDOS."," ""MIRTHA TRIGO SOLEDAD LOPAZ""","Con el objetivo de mantener su crecimiento frente al decremento generalizado del consumo nacional, Tetra Pak explora nuevos sectores alimenticios, especialmente aquellos relacionados con productos fortificados.","gestion","2014/10/03"
"Nissan Anuncia Ampliación de Servicio Financiero y Garantías","MAQUINARIAS ACCELERA FINANCIAMIENTO Y COBERTURAS DE SU CRÉDITO","NEGOCIANTES ENERGETIZADOS","Maquinarias ofrece soluciones financieras completas para facilitar la compra de vehículos Nissan, garantizando condiciones favorables incluso ante fluctuaciones económicas.","gestion","2014/10/03"
"Podemos cubrir en cualquier parte del ‘Perú’","‘Tomaremos experiencias que tenemos en otros países’, indicó Yara.","'Na';‘Perú tiene gran potencial en cultivos de café y cacao. Tomaremos experiencias que tenemos en otros países’, indicó Yara.’ País. F.stoes en zonas de costa y de cordillera. En el caso del café se siembra en altura"," en las frutas y vegetales, se cultiva en condiciones más apropiadas y a más temperaturas.""","gestion","2014/10/03"
"Plataforma Café”;‘Se está dando algún soporte a alguna clase de cultivo?’ ""","'Na';‘Se busca ayudar al sector cafetalero y cacao, que hoy en día casi no usa fertilizantes y no se mejora rendimientos. Perú es uno de los países donde vemos un gran potencial. Pensamos que para los agricultores, aquí hay oportunidad.” ","","","gestion","2014/10/03"
"HOA DE VISITA NAVIDAD-DIEGO DOMINGUEZ-FERREIRA","Estado Civil: Casado, 2 hijos.;Profesión: Administrador, con estudios en Noruega y maestría en Francia.;Experiencias: Extensa en cultivos. A nivel global, un agricultor medio no tiene tierras de cultivos de $10 hectáreas.","'Na';HOJA DE VISITA NAVIDAD DIEGO DOMINGUEZ-FERREIRA: Estado civil: casado, 2 hijos. Profesión: administrador, con estudios en Noruega y maestría en Francia. Hobbies: practica tenis, ciclismo, lectura, ir al cine y pasar tiempo con la familia. Experiencia en cultivos. A nivel global, un agricultor promedio no posee tierras de cultivos superiores a diez hectáreas.”","","gestion","2014/10/03"
"Gestion Negocio – Primer Edición de Ranking SAB Reconoce Posiciones Destacadas","Premiación del Ranking SAB 2014 reconocida por G de Gestión y Deloitte.","'Edmundo Beltran, Editor General de G de Gestión, Rafael Rojas,';Primera edición de Ranking SAB reconoció a sus primeros lugares —G de Gestión y Deloitte premiaron a las sociedades agentes de bolsa que lideran la preferencia de inversionistas institucionales en el país. La premiación del Ranking SAB 2014, que organizaron G de Gestión y su socio estratégico Deloitte, se realizó ayer en el JW Marriott Hotel Lima, con la participación de ejecutivos ligados al mercado de valores peruano, dio inicio a la vigencia de un benchmark paralelo para aquellos inversionistas interesados en dirigir sus capitales hacia la Bolsa de Valores de Lima (BVL).”","","gestion","2014/10/03"
"Clean & Clean Evalua Plan Expansión Interior","Inaugurarán dos locales en Surco y San Isidro antes de incursionar en provincias.","'José Cummins Méndez,'Clean & Clean evaluá plane expansion en el interior del país Antes de entrar a provincias abrirán dos locales en Lima, los que se sumarán a las más de 10 ubicaciones que tienen en la capital y el bulevar de Asia. José Cummins Méndez, Presidente Consejo Directivo de Clean & Clean, mencionó que debido al aumento significativo de la demanda de servicios de lavandería en el interior del país, la franquicia española ya evalúa la posibilidad de ingresar pronto a provincias tras cuatro años de operación en Lima.""","","gestion","2014/10/03"
"AFINAN PROPOSAL Government prepares new subsidy for disabled people","","By Carmen Omonte","The minister of Women's Affairs announced today that the government plans a new subsidy for those who find themselves in poverty or extreme poverty situations due to disability.","gestion","2014/10/03"
"","Government readied non-contributory pension for individuals without employment benefits.","'Ministry spokesperson indicated this initiative involves Health, Social Inclusion, Economy, and Finance sectors.'","","gestion","2014/10/03"
"","Initial trials could occur here given successful identification programs previously implemented. ","","","gestion","2014/10/03"
"","Medical certification will validate disabilities through protocols established by Ministry of Health.","","","gestion","2014/10/03"
"","","","","gestion","2014/10/03"
"GASTO PUBLICO EXECUTION Budgetary execution at risk leaving billions unused","","By Ismael Lazo","As reported by Congress, up until September end, only S/. 19,493 million out of S/. 41,596 million was invested, indicating potential failure to utilize full budget allocation within year-end.","gestion","2014/10/03"
"","Only 40.9 percent of investment budget executed nationally while regions like Cajamarca face stagnation despite critical needs.","","","gestion","2014/10/03"
"","Report highlights poor management leading to insufficient infrastructure development across health, education, agriculture, roads.","","","gestion","2014/10/03"
"","","","","gestion","2014/10/03"
"CAMBIO CLIMATICO Climate change threatens agricultural GDP reduction","","By Eduardo Durand","Natural anomalies caused by climate changes may affect Peru’s agricultural gross domestic product by up to eight percent according to Environment Ministry analysis.","gestion","2014/10/03"
"","Analysis considers various scenarios impacting different economic activities and sectors.","","","gestion","2014/10/03"
"","Mitigation measures include National Plan on Agricultural Risk Management targeting major crops affected by climate shifts.","","","gestion","2014/10/03"
"","","","","gestion","2014/10/03"
"TUS FINANZAS Which financial institution should manage my retirement savings?","","By Lorena Massías","Explains implications of allowing insurance companies to handle your pensions including future benefit options and factors affecting decision-making processes.","gestion","2014/10/03"
"","","","","gestion","2014/10/03"
"EJECUCIÓN DEL PRESUPUESTO ANALYSIS Fiscal policy review suggests need for updated regulations","","By Elias Garcia","Current law requires revision considering recent credit trends potentially masking true company finances amid slowing growth rates.","gestion","2014/10/03"
"","Predictions suggest increased bankruptcies among firms unable to meet minimum spending thresholds.","","","gestion","2014/10/03"
"","Legal framework adjustments proposed to align more closely with international standards seen in Mexico, Colombia, and Chile.","","","gestion","2014/10/03"
"","","","","gestion","2014/10/03"
"TRIBUTACIÓN TAX REVISION Over three thousand businesses required to pay temporary asset tax","","By Miguel Alonso Juarez","Business community disputes SUNAT interpretations extending ITAN obligations beyond previous exemptions.","gestion","2014/10/03"
"","Proposals aim to extend exemption till current year close preventing unnecessary legal actions against compliant entities.","","","gestion","2014/10/03"
"Tecnologías clave para el desarrollo económico marítimo","NA","NA","Turismo costero, ciencia tecnológica, la extracción de hidrocarburos, el desarrollo de una industria naval son —entre otras— ramas fundamentales de la actividad económica en el mar que los peruanos tenemos como tarea inconclusa.","gestion","2014/10/03"
"Economía Internacional y Desarrollo Naval Peruano","NA","NA","Según algunos cálculos, las cuatro quintas partes del flujo de exportaciones e importaciones del mundo transitan por vía marítima. Sin embargo, el uso del mar como supercarretera del comercio internacional requiere de una apuesta clara por el desarrollo de una industria de cabotaje que tenga un alto grado de mentalidad con puertos y áreas localizados según una concepción estratégica del desarrollo nacional.","gestion","2014/10/03"
"Pesquería Industrial y Pesquería Artesanal en el Perú","NA","NA","El Perú es sin duda alguna uno de los mayores países en cuanto a pesca industrial y artesanal. Pero la pesca de captura tiene límites, por consideraciones de sostenibilidad y de carácter ambiental.","gestion","2014/10/03"
"Agricultura Acuícola Global y Potencial Peruano","NA","NA","China es un ejemplo extraordinario de este cambio, impulsado por la necesidad de alimentar a los cientos de millones de ciudadanos chinos... El Perú figura alrededor del puesto 40 en un ranking de 170 países gracias al desarrollo incipiente de las granjas langosteras, de trucha, de conchas de abanico, tilapia, etc.","gestion","2014/10/03"
"Innovación Turística Basada en Recursos Naturales","NA","NA","De igual manera, la investigación científica marina nos ofrece un potencial fantástico para la focalización de inversiones en actividades de investigación y desarrollo con el objeto de aprovechar la enorme biodiversidad del mar peruano.","gestion","2014/10/03"
