"headline","subheadline","author","content","newspaper","date"
"Llega primer contrato de viajes lunares","Primera persona pagará por vuelo lunar","Victor Jara","Hace apenas algunos años, el turismo espacial parecía algo propio de la ciencia ficción. Pero hoy, la compañía aeroespacial SpaceX, creada por el magnate Elon Musk, anunció que ha sellado un contrato histórico.","ojo","2018/09/16"
"Población demanda cambio en Justicia","Congreso muestra lentitud en reformas urgentes","Senamhiconfirmanúmero climático","En medio de la campaña electoral, Forwards Party sigue sin avanzar significativamente en la prometida reforma del sistema de justicia, generando malestar público sobre la necesidad de renovar completamente el Congreso.","ojo","2018/09/16"
"Firma matrimonio peculiar","‘Ken’ y ‘Barbie’, historia única","Roberta Macino","Una curiosa ceremonia de bodas llamó la atención esta semana cuando Ken, de 36 años, dio el sí a Barbie, destacando otra forma singular de celebrar uniones matrimoniales.","ojo","2018/09/16"
"Cristal Sporting Club celebra victoria deportiva","Deporte domina agenda nacional","-","Con alegría resonante, Cristal Sporting Club triunfa nuevamente, marcando hitos importantes dentro del panorama futbolístico peruano.","ojo","2018/09/16"
"Asamblea aprueba nueva normativa ambiental","Reforma busca mitigar impacto humano en naturaleza","Editorial","Tras intensas deliberaciones, la Asamblea Legislativa finalizó la votación favorable respecto a nuevas regulaciones destinadas a conservar recursos naturales vitales para el país.","ojo","2018/09/16"
"ANTECEDENTES.","","","Además de resistirse a volver al Perú para someterse a la justicia, a pesar del pedido para extraditarlo, Toledo sigue con su costumbre de gastar a sus anchas en Estados Unidos.","ojo","2018/09/16"
"OPINAN LOS LECTORES.","","","¿Forza Popular traiciona al pueblo?","ojo","2018/09/16"
"Fuerza Popular bloquea reforma del CNM.","","","Los nueves fujimoristas bloquearon la reforma del Consejo Nacional de la Magistratura en la Comisión de Justicia del Congreso.","ojo","2018/09/16"
"APOYO A TOLEDANO.","","","Toledo fue visto cenando con Eliane Karp disfrutando del sol y el agua en una playa de Miami Beach.","ojo","2018/09/16"
"DÉBITO CORRUPTIVO.","","","Según la fiscalía, al menos 708 millones de dólares en coimas de Odebrecht fueron entregados a Toledo.","ojo","2018/09/16"
"SITUACIÓN POLÍTICA CRUCIAL.","","","Las acciones de Fuerza Popular podrían influir significativamente en las próximos elecciones presidenciales.","ojo","2018/09/16"
"PRESIÓN SOBRE MARTÍNEZ BELAÚNDEZ.","","","Martín Belaunde Lossio enfrenta nuevas investigaciones relacionadas con casos antiguos de corrupción.","ojo","2018/09/16"
"CUESTIÓN DE CONFIANZA INMINENTE.","","","Glave propone una cuestión de confianza frente a la posible intervención judicial brasileña en el caso ‘Lava Jato’.","ojo","2018/09/16"
"NOCHE TRAGICA EN CHEPÉN.","","","En Chimbote, un accidente vehicular causó múltiples heridos durante la noche.","ojo","2018/09/16"
"MARCHA CONTRA LA CORRUPCIÓN.","","","Roberto Giampietri llama a recolectar firmas para impulsar una consulta popular anticorrupción.","ojo","2018/09/16"
"LLEGADA DE FUERTES VIENTOS COSTA ADRIANA.","","Senamhi","Fuertes vientos impactaron zonas desde Lambayeque hasta Lima, provocando incidentes menores.","ojo","2018/09/16"
"HALLAZGO TRÁGICO EN SAN ANDRÉS.","","","Dos mujeres murieron y varios resultaron heridos tras el choque de una camioneta en la ruta hacia Huancavelica.","ojo","2018/09/16"
"TERROR EN PLAZA GARIBALDI.","","","Tiroteo perpetrado por individuos disfrazados deja saldo mortal en Ciudad de México.","ojo","2018/09/16"
"EVALUACIÓN CLIMATOLÓGICA.","","Senamhi","Predice aumento de precipitaciones moderadamente severas en diversas partes del territorio nacional.","ojo","2018/09/16"
"INTERVENCIÓN MILITAR EN COLOMBIA?","","","Secretario general de la OEA insinúa potencial acción militar en Venezuela.","ojo","2018/09/16"
"GRANDES DAÑOS POST-TIFÓN MANGKHUL.","","","Filipinas registra numerosas pérdidas humanas y materiales tras el paso destructivo del tifón Mangkhul.","ojo","2018/09/16"
"CONFLICTO ARMADO EN GUAYAS.","","","Una explosión causa estragos en Cuartel Policial de Ecuador, atribuido a grupos insurgentes.","ojo","2018/09/16"
"MUERTE MASIVA EN VIETNAM.","","","Tormenta tropical genera inundaciones catastróficas en Vietnam, elevando dramáticamente cifras mortales.","ojo","2018/09/16"
"Cédula de votación.","","","","ojo","2018/09/16"
"Aviso polìtico contratado Melissa Palomeque cautivo un la television mundial. Karen Dejo revela a sus favoritas ‘Daniel Ortega’ levanta la Copa”;;NA""","Karen Dejo se pronunció sobre el final de ‘El artista del pueblo’ y señaló que entre Daniel Ortega y Shannon Onetto se encuentra el ganador.","","","ojo","2018/09/16"
"","","","","ojo","2018/09/16"
"Lady Guillén da a luz a su hija Victoria","","","Lady Guillén, voz destacada de la televisión nacional, dio a luz a su hija Victoria. A través de Instagram, Chrislain Uribe compartió imágenes de su esposa dando a luz.","ojo","2018/09/16"
"","","","","ojo","2018/09/16"
"Horasanteras / Milagros Silvana seguirá en 'Los 4 Finalistas' ","","","A través de su cuenta de Instagram, Tilsa Lozano anunció que continuarà en el programa ‘Los 4 finalistas bailando’. ","ojo","2018/09/16"
"","","","","ojo","2018/09/16"
"Delfina Lacroze será candidata al Oscar","","","‘Whipperday’, película peruana rodada completamente en idioma aimara, fue seleccionada como precandidatura para los Premios Oscars y Goya.","ojo","2018/09/16"
"","","","","ojo","2018/09/16"
"Brunella Horna defiende a Richard Acuña","","","Brunella Horna defendió a su compañero Richard Acuña y destacó las virtudes del congresista. También criticó los conflictos internos dentro de Acción Popular.","ojo","2018/09/16"
"","","","","ojo","2018/09/16"
"Gonzalo Godoy podría jugar por Universitario","","","Gonzalo Godoy menciona estar abierto a trabajar en diferentes equipos, incluido Universitario, mientras continúa jugando para Alianza Lima.","ojo","2018/09/16"
"","","","","ojo","2018/09/16"
"Mauricio Affonso liderará el medio campo de Alianza Lima","","","Alianza Lima utilizará un sistema táctico específico para controlar el mediocampo y limitar oportunidades a futbolistas clave de Sporting Cristal.","ojo","2018/09/16"
"","","","","ojo","2018/09/16"
"Sigue el drama en Matute","","","Se anticipa un choque decisivo entre Alianza Lima y Sporting Cristal en Matute, crucial para ambos equipos en la competición actual.","ojo","2018/09/16"
"","","","","ojo","2018/09/16"
"Futuro de Christian Cueva en Rusia","","","Christian Cueva aún no confirma su futuro deportivo, siendo posible su retorno a Krasnodar para enfrentamientos importantes.","ojo","2018/09/16"
"","","","","ojo","2018/09/16"
"Marcelo Bielsa sorprende en Europa","","","Con excelentes actuaciones, el Leeds United dirigido por Marcelo Bielsa sobrepasa expectativas en la Premier League.","ojo","2018/09/16"
"","","","","ojo","2018/09/16"
"Real Madrid tropieza ante Athletic Bilbao","","","Un empate ajustado deja al Real Madrid buscando mejorar su rendimiento en próximos compromisos ligures.","ojo","2018/09/16"
"","","","","ojo","2018/09/16"
"Cristiano Ronaldo busca su primer gol en Italia","","","Después de varios intentos infructuosos, CR7 necesita abrir su cuenta goleadora con Juventus para mantener su nivel competitivo.","ojo","2018/09/16"
"","","","","ojo","2018/09/16"
"Bielsa's Leeds impresiona en la Championship","","","Las estrategias innovadoras de Marcelo Bielsa están posicionando a Leeds United como contendientes fuertes en la liga británica.","ojo","2018/09/16"
"SEXO DESPUÉS DEL PARTO","Entre 6 y 8 semanas es el promedio en que los tejidos del útero logran sanar tras haber alojado al bebé."," NA","Se estima que puede tomar más tiempo en algunos casos, así que las relaciones sexuales deberían posponerse.","ojo","2018/09/16"
"THERAPY FOR COUPLE RELATIONS","Acudir a un especialista no está peor.","NA","Al contrario, indica que hay espacio para mejorar tanto para él como para ella, y con apoyo profesional podrán resolver problemas matrimoniales o relacionados con la pareja.","ojo","2018/09/16"
"PREDICCIÓN PARA VIRGO","Este periodo trae ambigüedad emocional.","NA","Comunicación clara con tu pareja ayudará a despejar dudas.","ojo","2018/09/16"
"SUGERENCIA PARA PISCIS","Es probable este sea el momento ideal para reconsiderar varios elementos de tu vida amorosa.","NA","Deberías reflexionarlo bien.","ojo","2018/09/16"
