"headline","subheadline","author","content","newspaper","date"
"Gobierno se traza meta Buscan revisar 2 mil trámites para dinamizar el PBI rápido.","","Presideute de la República (20/02/2017) ","Este año, el gobierno espera que el Producto Bruto Interno (PBI) crezca 2.8%, por debajo del 3.9% que avanzó en 2016. El Presidente Pedro Pablo Kuczynski ha señalado en varias ocasiones que la desaceleración de la economía es consecuencia del fenómeno de El Niño y el caso de corrupción Lava Jato.","peru21","2017/07/31"
"Falta de dos fechas Alianza derrotó 2–0 al Muni’ y trepa a la punta.","","","Primer ministro, Fernando Zavala, indica que hasta diciembre del presente año se revisarán 2,000 procedimientos. Analistas y gremios aseguran que trabas burocráticas continúan siendo un problema para los inversionistas. Perú podría tener un punto más de PBI si se simplificaran los trámites.","peru21","2017/07/31"
"Dinatale Fabiana Dinatale.;Fabiana Sanchez Dinatale fabiana.sanchez@peru21.com","Actualidad Barreras. Primer ministro, Fernando Zavala, indica que hasta diciembre del presente año se revisarán 2,000 procedimientos. En tanto, analistas y gremios aseguran que trabas burocráticas continúan siendo un problema para los inversionistas. Perú tendría un punto más de PBI si se simplificaran los trámites. ‘‘Creemos que podríamos tener un punto más del PBI si tuviéramos simplificación de trámites, agilización de trámites,’’ seguró el también titular del Ministerio de Economía y Finanzas (MEF). ","","","peru21","2017/07/31"
"Luis Galarreta Informa que se eliminarán 300 trabas inútiles.”;Director Periodístico; “Fernando Zavala informó que ya ’se han eliminado más de 300 trabas inútiles’. El problema de las trabas burocráticas ha crecido en nuestro país debido a nuestra propia acción.’’”
Cesar Peñaranda Opina sobre Simplificación”","Directora de la Cámara de Comercio de Lima (CCL), César Peñaranda,""Una de las principales causales de más trabas burocráticas es la falta de transparencia legal. Las instituciones deben trabajar conjuntamente para resolver problemas.”","","","peru21","2017/07/31"
"Daniel Salaverry Propone soluciones desde el legislativo","Voz de Fuerza Popular"," ""Salaverry sugirió que en esta nueva legislatura se centren en encontrar maneras de simplificar los trámites en gobiernos locales u otras instituciones que interactúan directamente con los ciudadanos.""","","peru21","2017/07/31"
"Juan Jose Garrido Critica arbitrariedad judicial","Director"," ""Los tribunales aplican diferentes criterios dependiendo de quién sea investigado, lo que refleja inconsistencias sistémicas en el manejo de la justicia peruana.""","","peru21","2017/07/31"
"Nace empresa S.R.L.","","","Mediante acta de decision adoptado por el titular en fecha 10 de Mayo del 2017, La Empresa INVERSIONES NUNEZ OKOMURA EL.R.L. acordó transformarse en ADVANTAGE INNOVATIÓN TECHNOLOGIES PERU S.RL.","peru21","2017/07/31"
"Aviso conjunto de Fusión","","","En cumplimiento de lo establecido en el articulo 355° de la LGGeneral de Societies, las empresas JKB ALIMENTOS S.R.L. y EVR CONSTRUCTORAE.I.R.L. ponen en conocimiento que, con fecha 17 de Julio del 2017, las juntas generales de accionistas de ambas societes han acordado la fusion por absorcion, siendo JKB ALIMENTOS S.R.L. la sociedad absorbente y EVR CONSTRUCTORAE.I.R.L. la sociedad absorbida. La fecha de entrada en vigor de la fusion es el 1 de Agosto del 2017.","peru21","2017/07/31"
"Luis Galarreta espera resolver problema de Nuevo Peru","","","Tras la renovación de la mesa directiva, los congresistas del bloque Nuevo Perú – renunciantes de la bancada del frente amplio– esperan poder conversar con el presidente del congreso, Luis Galarreta, con el objetivo de encontrar una solucion a su situacion en la que no pueden presidir ni integrar comisiones.","peru21","2017/07/31"
"Urbania presenta oferta comercial","","","Cal. Kenb Nro 131 El Rosal Santa Cruz de Surco Tu mejor inversión publicitaria Urbania.","peru21","2017/07/31"
