"headline","subheadline","author","content","newspaper","date"
"Fiscal pide que metan a la cárcel al cómico ‘’ por invadir carril contrario y matar a hu motociclista","","","VIERNES 23 DE DICIEMBRE DEL 2016\n[trome.pe]\n(B WhatsApp 951–665–767 – [3 Facebook](facebook.com/tromepe)\n=\xFAtromopu pr ua qu pg e X y FISCAL PIDE QUE METAN A LA PRISION AL COMICO \xE2\x80\x98 POR INVADIR CARRIL CONTRARIO Y MATAR A UN MOTOCICISTA.\n[iii]\n[ii] TV MILL©©©\ny3 MIÉ 21 UL ESCÁNDALO POR SOBORNO DE $29 MILLONES DE DÓLARES EMBARRA A TOLEDO, ALAN Y HUMALA 2 — (AL DÍA)","trome","2016/12/23"
"El amor de Dios | Fotografía de Gary llegó al restaurante por un pollito a la plancha con arroz graneado, ensalada fresca, rocoto molido y un jugo de carambola fresquecito.","","","[MARÍA], MAÑANA ES LA NOCHE BUENA Y AUNQUE ES CASI IMPOSIBLE NO VERSE ENVUELTO EN EL EVITEMPLE TORBELLENTO DE COMPRAS, DEBERIAMOS TENER BIEN PRESENTE QUE LO MATERIAL NO ES LO MAS IMPORTANTE EN ESTAS FECHAS. LA IMMENSE MAYORIA DE PERUVIANOS CREEMOS EN DIOS Y EN EL NATIVIDAD DE SU HIJO JESÚS, POR ESA RAZÓN CELEBRAMOS EN NAVIDAD. ESO ES EL VERDADERO SENTIDO DE ESTE EVENTO, QUE DEBERIAS TENER BIEN PRESENTE ASIMISMO SU MENSAJE DE AMOR, PAZ Y RESPETO AL PROJIMO,\nCREO QUE HOY MAS QUE NUNCA NOS CONVENDRÍA A LOS PERUVIANOS RECORDAR ESTOS VALORES, PUES VIVIMOS TIEMPO VIOLENCIOSOS, NO SOLAMENTE POR PARTE DE LA DELINCUNCIA TAMBIEN DE PADRES HACIA SUS HIJOS, DEL MARIDO A LA ESPUSA ENTRE AMIGOS Y VECCINOS, ENTRE EMPLEADOS DEL TRABAJO, DEL CHOFER DE TAXI A SUS PASAJEROS, EN EL MARKET, ENTRE POLITICOS, EN FIN.","trome","2016/12/23"
"Sobre escándalo por sobornos de 29 millones de dólares golpea a los presidentes Toledo, García y Humala","","'El Caso', según fiscal ugaz, involucró a empresas brasileras durante gobierno de Pedro Pablo Kuczynski","MINISTERIO PUBLICO INDAGARA SOBRE LAS PERSONAS QUE RECIBIERON COIMA. MINISTROS REGIONALES, FUNCIONARIOS CENTRAL, POR NOMINALES QUE SE LE PAGO A ODABRECHT PARA QUE PUEDA PROCEDER. AGREGO QUE SEXMANDANTES FUERON ENTREGADO ON LINE COLA COLOR QUE ODABRECHT REALIZO 7 GRANDES OBRA EN NUEVA PLATAFORMA EN SURPERUANO (700 MIL LLONES DE DOLARES).\nPRESIDENTE PEDRO PABLO KUCZYNSKI AFIRMÓ ANTERIORMENTE QUE ÉL NO ESTÁ INVOLUCRADOS EN ESOS HECHO Y PIDIÓ QUE SE TENGA QUE AVERRIFICAR QUIENES SON LOS RESPONSABLES. EXPRESÓ QUE EL MINISTERIO PUBLICO DEBE PEDIR A LOS REPRESENTANTES DE ESTADOS UNIDOS QUE LES PROPONGAN QUÉ PERSONAS SE LE PAGO DINERO.\nALEJANDRO TOLEDO PRESIDIÓ EL PERÚ EN DOS OCASIONES, IGUAL QUE KEIKO FIGUEROA, AHORA SENADORAPOR FIJA Y OLANTA HUMANOLA CUANDO ERA PRESIDENTE DEL PERÚ, ENCUYO PERIODOS SE FIRMAN MUCHOS CONTRATO CON ODABRECHT, DICHO CONSORTIO GANO MIL 247 MILLONES DE DÓLARES, REVELÓ EL PRESIDENTE DE TRANSPARENZA INTERNACIONAL, JOSÉ UGAS.","trome","2016/12/23"
"Anuncio gobierno","Planean aumentar número de policías","Na","Así, se buscará mejorar la vigilancia urbana y combatir la criminalidad.","trome","2016/12/23"
"Hablamos con vecinos de San Luis","Opinan sobre nuevas medidas económicas","Ismael Lazo","Los residentes expresan preocupación respecto a las fluctuaciones financieras actuales.","trome","2016/12/23"
"Sigue activo el terremoto en Lima","Testimonios revelan impacto personal","Na","Vecinos describen experiencias cercanas al fenómeno sísmico ocurrido en la tarde-noche.","trome","2016/12/23"
"Miraflorinas atrapa conductor","Atropello múltiple causa revuelo","Na","Una conductora enfrenta cargos legales tras incidente fatal en la Av. Larco.","trome","2016/12/23"
"Información meteorológica relevante","Advertencias previas al plan Verano 2017","Na","Las autoridades recomiendan precauciones específicas frente a cambios climáticos pronósticados.","trome","2016/12/23"
"Pablo Villanueva ('Melcochita') accidente grave","Choque mortal involucra famoso actor","Na","Tragedia automovilística afecta carrera legalmente significativa del conocido comediante peruano.","trome","2016/12/23"
"Novedades tecnológicas destacadas","Promociones exclusivas en electrónica","Na","Grandes descuentos aplican en diversos dispositivos digitales disponibles solo temporalmente.","trome","2016/12/23"
"Aumento de fuerza pública planeado","Objetivo: Reducir sensación de inseguridad","Na","Incremento proyectado pretende fortalecer operaciones de control público.","trome","2016/12/23"
