"headline","subheadline","author","content","newspaper","date"
"Metro de Lima: Amplían investigación a Alan García por posible recepción ilegal de fondos de Odebrecht","","DiarioCorreo","Alan García enfrenta nueva fase judicial tras hallazgos en Perú. Fiscal José Domingo Pérez extiende investigación por posibles irregularidades financieras asociadas a conferencias brasilenses.","correo","2018/11/16"
"Lideresa de Fuerza Popular y asesores irán a cárcel por lavado de activos","","Gabriel Maazzi","Ana Herz de Vega y Pier Figari recibirán prisión preventiva por tres años dentro de proceso por alegados vínculos con Odebrecht y acciones corruptivas en política peruana.","correo","2018/11/16"
"Fiscalía presenta pruebas sólidas contra figuras clave de Fuerza Popular","","DiarioCorreo","Testimonios corroborados fortalecen casos legales contra implicados en red de corrupción política, sugieren conexiones profundas con donaciones ocultas de empresas multinacionales.","correo","2018/11/16"
"Pronunciamentos de alto perfil critican manejo gubernamental","Julio Velarde opina sobre capacidad presidencial de Martin Vizcarra","DiarioCorreo","Presidente del BCR, Julio Velarde, hace comentarios críticos hacia presidentes precedentes, insinúa falta de planes estratégicos adecuados en mandatos anteriores.","correo","2018/11/16"
"Se comunica que mediante acuerdo de Junta Universal de Accionistas de ALCOBENDAS S.A."," NA","","De conformidad con el artículo 412 de la Ley General de Sociedades.","correo","2018/11/16"
"Lazosg, viaje Molés Mamani estuvo en su región, Puno, con motivo de la semana de representación parlamentaria. "," NA","","Viaje Molas Mamani estuvo en su región, Puno, con motivo de la semana de representación parlamentaria.","correo","2018/11/16"
"Magistrado ibérico consideró inconsistentes sus argumentos y Ejecutivo tramita su devolución"," NA","SOFÍA LÓPEZ","En tanto, también ayer, el no peruano accedió a la solicitud de extradición activa contra el prófugo.","correo","2018/11/16"
"Sobre el aumento del dólar"," NA","Julio Velarde","Según este análisis, falta reducir el precio de los gasoholes entre S/0.66 y $/0.83 por galón.","correo","2018/11/16"
"Evaluación Económica"," NA","KARINA VALLECIA","Evalancia grupo epensa Evaluación Económica Elmer Cuba: Estamos en manos del Ejecutivo y a donde quiere llegar.","correo","2018/11/16"
"Apreciaciones sobre el Camino Hacia un Diálogo Fructífero"," NA","Director","Es evidente que con objetivos claros, transparencia y diálogo se puede salir de esta crisis política.","correo","2018/11/16"
"Buenas Prácticas en Gestión Pesquera"," NA","Elena Contorno","Saludamos que se continúe institucionalizando el uso de la ciencia en la gestión de la pesquería de anchoveta.","correo","2018/11/16"
"Dudas sobre Promedios en Educación"," NA","León Trahtemberg","Explica cómo se logró mejorar notablemente el desempeño de los pilotos de aviones norteamericanos en los años 50.","correo","2018/11/16"
"Crisis Carcelaria en Challapalca"," NA","Ivan Slocovich Pardo","Durante las últimas horas, los internos han tomado como rehenes a empleados del Instituto Nacional Penitenciario (Inpe)","correo","2018/11/16"
"Ida Vitale gana el Premio Cervantes 2018","","NA","Poeta uruguaya Ida Vitale, de 95 años, ganó el Premio Cervantes 2018, por ‘’su lenguaje, uno de los más destacados y reconocidos de la poesía’’, y por tener una trayectoria ’de primer orden’. De esta manera, se convirtió en la quinta mujer en recibir dicho galardón, que tiene más de 40 años de historia.","correo","2018/11/16"
"Nueva entrega de entrevistas con autores contemporáneos","","NA","QUIÑONES por su obra Puerta en la Niebla, en la que describe la vida contemporánea de una comunidad latina a orillas del río Hudson, en Estados Unidos. F='''Los miembros del jurado destacaron su habilidad para “recuperar un lenguaje perdido”, así como “su decidida crítica al castrismo, al exilio y al post-castrismo.”'''","correo","2018/11/16"
