"headline","subheadline","author","content","newspaper","date"
"Exoneraciones de etapas en los tramites para acelerar el proceso","","","En el caso de la 'ley pulpín' se omite el plazo de publicación del dictamen y la segunda votación, y en la ley Oviedo ni siquiera se analizó el proyecto en comision.","elcomercio","2018/11/03"
"Aprobácion de proyectos legislativos","","","Apra FN Fiscalía de la Nacional Fuerza Popular No catalogar partidos politicos como organizaciones criminales Modifica el articulo 1 de la Ley de Organizaciones Politicas para establecer que no pueden ser consideradas organizaciones criminales. Segun su autor, se busca proteger la institucionalidad de las organizaciones politicas, prevista en la Constitucion. Jorge del Castillo Una nueva ley organiça para el Ministro Publico Disponiendo, entre otras cosas, que se informe previamente al fiscal de la National para iniciar investigaciones. Ademas, el levantamiento del secreto bancónico solo podrìa realizarse con su autorizacion y seria el primero en recibir dicha informaciòn privilegia­da. Pedro Chavarri Plantee cambiarn el nombre de la Via Express de Lima Propone declarar de interes publico el cambia de nomecla­toria de la Via Paseo de la Republica de Lima por la de Luıs Bedoya Reyes, lider histórico del Partido Popula Christiano y ex alcald de la capi­tal, en cuya gestion se inauguró el prime tramo de la via. Karla Schaefler Lombardı i Guísa los que vote diferente a la mayoria del oficialismo.","elcomercio","2018/11/03"
"Polemica en el Parlamento peruano","¡El clic!","Anthony Nuňo Deguzmàn","Martes 30 de Octubre del 2018 09:25 El hartaze de Salaverri Daniel Salaverri tuvo un nueve confrontacion con Fuerza Popular y recibio la visitapa poco ami stosa de algunos de sus colegas en su sillon de la presidenta del Parliament. Idas vueltas Yeni Villcatoma se suma Yeni Villcatoma se suma a Fuerza Popular en el a Fuerza Popular en el 2016 para postular al 2016 para postular al Congress. Renecio poco mas de un mes poco mas de un mes despues de assumir despues de assume functions. Regreso a function. Regreso a la bankada en Julio de la bankada en Julho de este ano para postular a this year for postulate to the Board Directive. Three months after, asked license to maintain themselves independent. After asking license, Villcatoma criticized title of the Congress, Daniel Salaverri.","elcomercio","2018/11/03"
"Informes Legislativos Semanal","Proyectos destacados","","Ley Orgánica para el Ministerio Público Informa, entre otras cosas, que se informe previamente al fiscal de la Nation para iniciar investigaciones. Tambien, el levanta­miento del secreto bancario solo pueda hacerse con su autorización y será el primero en recibir esa información privilegiada. Pedro Chávarry Cambio propuesto para la Vía Expresa de Lima Sugiere declarar de interés públi­co el cambio de nomenclatura de la Vía Paseo de la República de Lima por la de Luis Bedoya Reyes, líder histórico del Partido Popular Cris­tiano y ex alcalde de la capital, en cuya gestión se inauguró el primer tramo de la vía. Karla Schäffer Lombardi y Guido son los que votaron distinto a la mayoría del oficialismo.","elcomercio","2018/11/03"
"Grupo de jóvenes fundaron la asociación religiosa Sodalicio de Vida Cristiana (SCV)","","","Figari era estudiante de Derecho y dictaba clases en el Colegio Maristas en San Isidro.","elcomercio","2018/11/03"
"","Según el informe del SVC, el primer abuso sexual que cometió Figari fue contra un menor de 15 años.","","Los ultrajes se habrían prolongado durante un año. Seis hombres denunciaron que cuando tenían entre 18 y 21 años también fueron abusados sexualmente por Figari ese año.","elcomercio","2018/11/03"
"","El Sodalicio de Vida a Cristiana se convirtió en una organización católica laica y recibió el reconocimiento canónico.","","1977","elcomercio","2018/11/03"
"","Jeﬄery Daniels Valderrama, sodálite, cercano a Figari, habría abusado sexualmente de 12 jóvenes, según el informe del SVC.","","1985","elcomercio","2018/11/03"
"","El sodálite Germán Doig y ex alumno de Figari habría abusado sexualmente de cinco hombres y una mujer menor de edad. Los abusos se habrían prolongado hasta el 2000.","","1983","elcomercio","2018/11/03"
"","El Sodalicio fue reconocido por el Papa Juan Pablo II como una Sociedad de Vida Apostólica de Derecho Pontiﬁcial.","","1983","elcomercio","2018/11/03"
