"headline","subheadline","author","content","newspaper","date"
"EMPRESAS COMPRAN US$ 300 MILLONES PARA LOS DATOS INDEPENDENCIA LOCAL COMERCIAL EN ALQUILER","","","Empresas compran US$ 300 millones para los Datos Independencia Local Comercial en Alquiler.","gestion","2015/08/12"
"HAY UNA VIOLÊNCIA QUE NAZE POR DOÑOREYNEL MUERTOS HERIDO DISCREPANCIAS ENTRE MINEM Y MINAM POR REGULACION","","","Hay violencia que nazca por Don Reynel Muertos Herido discrepancia entre Mem y Mimam por regulacion.","gestion","2015/08/12"
"PREDICCIONES DE DEMANDA DE PRODUCTOS BAJO COSTO","LA CRISIS AFECTA MENOS A ESTOS ARTÍCULO","José Gallardo","Predicciones de demanda de producto bajo costos afecta menos a estos articulo.","gestion","2015/08/12"
"Gobierno y Bancos elaboran Propuestas para Reducir IGV","Segundo Trimestre","","Proyecciones de analistas muestran escaso optimismo de alcanzar niveles anteriores de precio del dólar.","gestion","2015/08/12"
"CARGA VOLATILIDAD AMPLIFICADA POR ELECTRICIDADES","SEGUNDOS TRISEMESTRE","","Las cargas eléctricas aumentan la volatilidad anticipadamente conforme se aproximan las elecciones generales.","gestion","2015/08/12"
"DÉBITO Y CREDITO UTILIZADO EN TRANSACCIONES PERSONALES","PROBLEMA DE COBERTURA INTERMEDIA","","Debito y credito utilizado en transacciones personales muestra problemas de cobertura intermedia.","gestion","2015/08/12"
"LAS 15 EMPRESAS QUE USAN EN LA BVL CON MAYOR ROI PRIMER SEMESTRE DE 2015","","","Lista de las 15 empresas que utilizan en la BVL con mayor retorno sobre inversion en el primer semestre de 202015.","gestion","2015/08/12"
"GESTIÓN...RESULTADOS DE LAS EMPRESAS LIDERES DE LA BVL EN EL PRIMER SEMESTRE","DEL 2015","","Los resultados de las empresas líderes de la BVL mostraban caída en el primer semestre del 2015.","gestion","2015/08/12"
"TASA DE CRECIMIENTO DE EMPRESAS TELEVÉDICIAS E INDUSTRIALES","SUBIDA SUPERIOR AL 100% DURANTE EL PRIMER SEMESTRE.","","Subida superior al 100% en tasas de crecimiento de empresas televidicas e industriales durante el primer semestre.","gestion","2015/08/12"
"NORMAS LEGALES IMPACTAN EN OPERACIONES DE REFINERÍA","DISCORDIA ENTRE MINISTERIOS","Wilfredo Huancani","Normativas legales impactan en operaciones de refineria causando discordia entre ministerios.","gestion","2015/08/12"
"Expectativa de aumento en desarollo de aplicaciones móviles","","","Comentario sobre inversiones de empresas en el desarrollo de aplicaciones, menciona montos específicos.","gestion","2015/08/12"
"Precisión tecnológica en smart TVs","Samsung presenta aplicación de Karaoke","","Detalles sobre accesos a YouTube en Samsung y planes futuros de app development for their smart TVs.","gestion","2015/08/12"
"Situación fiscal de Maestro Peru SA.","","Fitch Ratings","Descripción de cambios fiscales y pronósticos de inversión relacionados con Maestro Peru SA después de su adquisición por Falabella.","gestion","2015/08/12"
"Tecnologías emergentes y estrategias comerciales","Symantec vende división Veritas","Reuters","Información sobre la venta de la unidad de almacenamiento de datos de Symantec y ajustes financieros posteriores.","gestion","2015/08/12"
"Innovación gastronómica peruana expande fronteras","Restaurantes peruanos abren en Holanda","Oficina Regional de la OIT","Expansión de la cocina peruana en Europa mediante la apertura de varios restaurantes en diferentes ciudades holandesas.","gestion","2015/08/12"
"Evaluación de políticas salariales en Perú","Propuestas de reforma salarial automatizada","Juan Chuqui","Discusiones sobre recomendaciones para mejorar el sistema de ajuste salarial en Perú.","gestion","2015/08/12"
"Crecimiento industrial y expansión global","Symentec realiza significativo movimiento corporativo","Reuters","Venta de la subsidiaria Veritas por parte de Symentec y acciones subsiguientes para manejar liquidez y eficiencia operativa.","gestion","2015/08/12"
"Efectos de competencia en ruta al MTC","","","De no lograrse un acuerdo entre el MTC y la Municipalidad de Lima, el ministro considera que la autoridad única que se plantea será el lugar natural para lograr los acuerdos necesarios.","gestion","2015/08/12"
"Túnel Transandino","Objetivo principal es mejorar la línea férrea.","'Nos ha dicho que no...'; Redacción","Uno de los atributos del transporte es el tiempo, entonces un servicio que te lleva en 12 013 horas a Huancayo es inferior al que tenemos actualmente congestionado debido a las carreteras en autobús. Creemos que esta estructura hará que funcione eficiente para los usuarios, con las inversiones adecuadas.","gestion","2015/08/12"
"Pronósticos económicos","Análisis detallado de múltiples aspectos económicos.","Lucero del Castillo","Actualmente, el Ministro Gallardo trabaja en una autoridad única para Lima, buscando armonizar los proyectos del Calao, Lima Metropolitana y el MTC.","gestion","2015/08/12"
"Gobierno busca infraestructura competitiva","Importancia de diversificar productos y servicios.","'Destinar fondos para retirar funcionarios sobrepoblados.'","Para evitar congestiones viales, el gobierno contempla varias estrategias, incluyendo la concesión de nuevos grupos de aeropuertos y caminos cruciales.","gestion","2015/08/12"
"Investigación de ProInversión","Proyectos significativos identificados para próximas licitaciones.","'Nombre: José David Gallardo Kukuli'; 'Profesión: Economista'; 'Estudios: PUCP. Maestro y Doctor en Economía por UC Berkeley.'","Entre los planes destacan la iniciativa privada para el desvío Quilca y la autopista entre Trujillo e Ica, ambas programadas para avanzar considerablemente dentro del período mencionado.","gestion","2015/08/12"
"Desafíos en la Línea 1 del metro","Acuerdos alcanzados para expandir capacidad.","'Según el ministro José Gallardo...'","Conforme indica el texto, se buscará agregar veinte trenes adicionales para fortalecer la operación de la Línea 1 del Metro de Lima.","gestion","2015/08/12"
"Crecimiento previsto de 3.6%","CHILE","","El Gobierno de Chile espera que su PBI crezca 3.6% en el largo plazo.","gestion","2015/08/12"
"Incertidumbre","Precio del oro se recupera","","El oro subió a máximos de más de tres semanas ante una caída de las acciones globales, mientras los inversores evalúan el impacto de la decisión de China de devaluar su moneda.","gestion","2015/08/12"
"Grecia logra acuerdo sobre tercer rescate de US$ 94,000 millones","(Reuters)","","Grecia y sus dueños internacionales alcanzaron un acuerdo de rescate de 85,000 millones de euros (US$ 94,000 millones) tras maratonísticas negociaciones, dijeron funcionarios, lo que salva al país de la ruina financiera anticipada y revive la esperanza de que Atenas pueda pagar una deuda que vence la próxima semana.","gestion","2015/08/12"
"SALARIO MINIMOM. ES tan dificultoso conversar clar@?","","Desde aquí insisteremos en que el tema debe examinarse seriamente y utilizando criterios técnicos, para impedir beneficios a un grupo limitado de personas y evitar que numerosas compañías migren a la informalidad.","","gestion","2015/08/12"
"Ajuste temporal del costo de las casas urbanas","FINANZAS","","En el Perú urbano aún persiste un déficit habitacional significativo, lo cual explica, en parte, la elevación de los valores residenciales en determinados barrios metropolitanos.","gestion","2015/08/12"
"MENÚ SEMANALES","LA COCINA CASERA SE REINVINDICA CON RECETAS PARA TODOS LOS PRESUPUESTOS.","'Fin del Boom'; Opinión","Opinión: En el primer trimestre del 2007, el valor del metro cuadrado de una vivienda situada en zonas privilegiadas era bastante inferior comparado con cifras posteriores donde experimentó un ascenso importante.","gestion","2015/08/12"
"Plan de Gobierno Fujimorismo propondrá hacer consultas sobre las inversiones a la población","NA","Carlos Tubino","Según el congresista Carlos Tubino, el plan de Fuerza Popular con miras a las elecciones generales del 2016 implicará consultar a la población sobre las inversiones.","gestion","2015/08/12"
"Fujimorismo será un partido conciente de las demandas populares","NA","Carlos Tubino","Carlos Tubino destacó que el plan de gobierno de Fuerza Popular buscará responder a problemas clave como el empleo y la informalidad, además de implementar programas sociales eficientemente.","gestion","2015/08/12"
"Crisis en Paro por Doe Run deja víctimas mortales","Violencia renace en paro por Doe Run – Se registra un muerto y 63 heridos.","","Durante los enfrentamientos con la policía en La Oroya, se reportó un muerto y múltiples heridos. Las autoridades buscan dialogar con los líderes sindicales para resolver la crisis.","gestion","2015/08/12"
"Mauricio Mulder confirma contratos simulados en caso MBL","Martín Belaunde Lossio reconoce irregularidades contractuales.","","De acuerdo con información divulgada por Mauricio Mulder, integrante de la misión investigadora, se descubrieron contratos fraudulentos ligados a Martin Belaunde Lossio.","gestion","2015/08/12"
"Dilma Rousseff bajo riesgo de juicio político por incumplimientos financieros","Moody’s reduce calificación crediticia de Brasil.","","El fiscal Julio Marcelo de Oliveira sugiere que la Presidenta de Brasil pudo infringir la Ley de Responsabilidad Fiscal, lo que abre paso a procedimientos judiciales contra ella.","gestion","2015/08/12"
