"headline","subheadline","author","content","newspaper","date"
"Un hombre en la Luna Jalme Bayly","Casos Edita salpican a PR","Ana Jara, Ministro de Gobierno","Se trata de casos polémicos donde figuran personajes influyentes.","peru21","2015/02/30"
"Historia de la república del Perú","Desde este martes con Peru21","","Una serie informativa sobre eventos históricos relevantes del Perú.","peru21","2015/02/30"
"A la Fiscalía se le respeta","Titular del Ministerio Público sale al frente ante las agresiones verbales del jefe de estado","","El fiscal de la Nación, Pablo Sánchez, defiende la integridad del ministerio público frente a críticas del Presidente Humala.","peru21","2015/02/30"
"Sorpresa en el mundo económico peruano","Huawei presenta nuevas funcione","","Anuncios tecnológicos destacados de Huawei en el mercado peruano.","peru21","2015/02/30"
"Caso Espionaje Chileno","Espionaje chileno llega a tribunales","","Detalles sobre cómo avanza judicialmente el escándalo de espionaje realizado por agentes chilenos.","peru21","2015/02/30"
"Pregunta de Hoy","Responsabilidad de sus autores","","Discusiones generadas por preguntas planteadas en programas radiales populares.","peru21","2015/02/30"
"Decisión judicial impacta caso de corrupción","Refiere médico forense a Fiscalía versiones de sobornos","Periodista Anónimo","Ante la falta de respuesta por parte de Ramos Heredia, la perito insiste 14 días después con el mismo tema, con la finalidad de solicitar atención a esa versión que aparentemente iba a difundir un medio de comunicación.","peru21","2015/02/30"
"Evolución del sector Mineria e hidrocarburos","Sector recupera dinámica positiva en enero","Instituto Nacional de Estadística e Informática","En enero, el sector Minería e hidrocarburos se recuperó con un incremento de 5.6% respecto al 2014. Esta recuperación se logró mediante una mayor producción de varios materiales clave incluyendo cobre, oro, zinc, plata, molibdeno, plomo e hierro.","peru21","2015/02/30"
"Inflación y actividad económica en Perú","Indicadores muestran cambios significativos en diversas áreas","Instituto Nacional de Estadística e Informática","En febrero, el Índice de Precios al Consumidor (IPC) a nivel nacional aumentó 0.29%, con lo cual acumula en los dos primeros meses del año un aumento de 0.50%. También destaca el decremento en inversiones gubernamentales centrales y el comportamiento variable de precios en productos específicos.","peru21","2015/02/30"
"Cambio climático global y regional","Impactos socio-económicos destacados en Latinoamérica","'La Concentración de riqueza en América Latina y el Caribe subió en 23% en la última década'. Esto muestra disparidades importantes en la distribución de recursos regionales.","","peru21","2015/02/30"
"Audiencia mundial espera decisiones económicas cruciales","EEUU presenta datos relevantes para futuras acciones fiscales","Felipe Arizmendi","Esta semana será crucial para entender movimientos económicos globales provenientes de Estados Unidos, especialmente en términos de expansión económica y ajustes monetarios esperados por la Fed.","peru21","2015/02/30"
"Crecimiento económico y obstáculos","NA","NA","Lo que nos está afectando es la autocomplacencia. A diferencia de los mecanismos con los que contamos en la política monetária y en la macroeconomía que permitieron que se garanticen la disciplina monetaria y fiscal, en la parte microeconómica nos hemos ido enredando mucho en vez de ir destrabando y abriendo la trocha para que la economía peruana siga creciendo.","peru21","2015/02/30"
"","¿Qué cantidad mínima de crecimiento necesita el Perú?","NA","Si la población económicamente activa (PEA) es de 15 millones y ésta crece a 1.5% anual, se necesitan crearentre 200 mil y 300 mil buenos puestos de trabajo al año para ir reduciendo el subempleo. Creciendo al 2% en vez de al 6%, dejamos de crear 100 mil puestos de trabajo.","peru21","2015/02/30"
"","Legislación Laboral y Flexibilización Económica","NA","En contraste con el modelo europeo, donde la rigidez ha generado dos niveles de desempleo, el sistema americano representa el extremo de la gran flexibilidad. Así, la economía americana se mantiene como una de las más competitivas del mundo y todavía puede crecer al 3% anual, mientras que para Europa eso es imposible.","peru21","2015/02/30"
"","Descentralización y Capacidades Regionales","Director del BCR Gustavo Yamamoto opina","“Yo estoy de acuerdo contigo en que, con el modelo de descentralización por el que se optó, hay mucho peso en la parte de los gobernadores regionales y no necesariamente hay las capacidades para administrar eficientemente estas responsabilidades.”","peru21","2015/02/30"
"","Educación y Gestión Regional","Directora de Educación expone perspectivas","'Entonces, ¿hasta qué punto, la parte política, la gestión que va a tener el presidente regional, va a afectar el desarrollo educativo?'","peru21","2015/02/30"
"","Políticas Educativas y Presupuesto Regional","Analizando la influencia gubernamental local","'Sin embargo, sí hay buenos ejemplos y yo espero que, por presión de pares, las otras regiones empiecen a alinear y mostrar mejores resultados.'","peru21","2015/02/30"
"","Juventud y Futuro Laboral","Expectativas para nuevas generaciones","'Yo creo que a los jóvenes de hoy y de las próximas décadas les va a tocar vivir la economía del conocimiento. Entonces, para ser coherentes con esta nueva situación, la única arma que van a poder tener para defendernos es la capacidad para aprender y mantener el conocimiento pertinentes para ser empleables.'","peru21","2015/02/30"
