"headline","subheadline","author","content","newspaper","date"
"EL PROBLEMA ERA ‘MOU’","NA","NA","Newcastle.-pusieron las almohadas, colocaron la barbana y tendiéronla como el panal de los Mariposas. En Inglaterra, con 38Jedimentos que el Mourinho era un estorbo y tras la salida del técnico, sumaron ayer su cuarto triunfo seguido en la Liga Premier, tras ganar 2-0 al Odegran New Castle (5“con 18) por la fecha 21. Los dirigidos ahora por el exjugador de belga Romelu Lukaku (64’ y Marca), vencieron con goles del belga Romelu Lukaku (64’ y Marca, 70’). El Odegran New Castle Lukaku dejó en claro la pérsima relación que existía con Mourinho. “Es totalmente distinto con el nuev- vo entrenador, aprendemos de él”, dijo el arte.","trome","2019/01/03"
"Desde que MOURINHO SALIO, MANCHESTER UNITED LLEVA CUATRO TRIUNFOS SEGUIDOS Y AYER DERRITO AL NEWCASTLE","NA","NA","Si perdemos estaría acabada la disputa por el título “Pep” Guardiola, DT del Manchester City Para mí, el City es el mejor equipo del mundo” Jürgen Klopp, DT del Liverpool","trome","2019/01/03"
"ZOS DESDE LA LLEGADA de Kloppe en 2015. Liverpool ha perdido solo uno de los 43 partidos con él."," ""NA"""," ""NA"""," ""NA""","trome","2019/01/03"
"CON MOUROINHO*, el atacante Marcus Rashford tenía 3 goles en 17 fechas, ahora lleva 3 en 4 partidos."," ""NA"""," ""NA"""," ""NA""","trome","2019/01/03"
"Buenos Aires.- “Para mí Boca no tiene purgatorio, es cie- lo o infierno. Es salir campeón o nada”. Con esa frase, el experimentado DT de los Xeneizes se refirió a su primera victoria en Bocas Juniors, su 11° club en Argentina, donde fue presentado. Sustituiría a Guillermo Barros Schefflotto, quien perdió la Copa Libertadores 2018 a manos de River Plate y ayer arribó a Estados Unidos para ponerse el buzo de Los Ángeles Galaxy de la MLS, donde juega Zlatan Ibrahimovic."," ""NA"""," ""NA"""," ""NA""","trome","2019/01/03"
"SUAREZ Y MESSI YA ENTRENAN CON BARCELONA"," ""NA"""," ""NA"""," ""DE VUELTA A CLASES La cumbra y el asado quedaron de lado. Lionel Messi y Luis Suárez regresaron a Barcelona en vuelo privado, con sus respectivas familias, y de inmediato se incorporaron a los entrenamientos con miras al choque del domingo ante Getafe. “Les estamos muy bien”, dijo el DT, que ya no tiene rival para la su última hija, Cesc. La madraza fue Sol Messi, hermana de la ‘Pulga’, y el padrino fue el futbolista Lucas Scaglia, primo de Antonela, mejor amigo de Lionel y “cupidón” de la pareja.""","trome","2019/01/03"
"ALFARO NUEVO DT REVENDE EN LA BOCA DEL LOBO"," ""NA"""," ""NA"""," ""NA""","trome","2019/01/03"
"SANTILLÁN JUGARÁ EN VERACRUZ"," ""NA"""," ""NA"""," ""Cambio de camiseta. El lateral Iván Santillán fue transferido del Real Garcilaso al Veracruz mexica- no, que busca salvarse del descenso. El zurdito marcador se convirtió en un nuevo “tiburón” por las próximas tres temporadas y el fin de semana pasará los exámenes médicos. De otro lado, el Naranjo conoce la inestabilidad pre- temporada y el comienzo del torneo de Oropeza bajo las órdenes del téc- nico chileno Héctor Tapia.""","trome","2019/01/03"
"San Villán jugará en Veracruz"," ""NA"""," ""NA"""," ""NA""","trome","2019/01/03"
"Tiburón a la vista"," ""NA"""," ""NA"""," ""NA""","trome","2019/01/03"
"Fondavisos"," ""NA"""," ""NA"""," ""Cambio de camiseta. El lateral Iván Santillán fue transferido del Real Garcilaso al Veracruz mexica- no, que busca salvarse del descenso. De otro lado, el Naranjo conoce la inestabilidad pre- temporada y el comienzo del torneo de Oropeza bajo las órdenes del téc- nico chileno Héctor Tapia.""","trome","2019/01/03"
