"headline","subheadline","author","content","newspaper","date"
"Regresa en Febrero.","","NA","","publimetro","2015/12/01"
"Autoridades firman declaración conjunta en París.;Presidentes Humala y Putin firmaron declaración conjunta en París. Se inciden en temas de educación, cooperación y defensa.","NA","","","publimetro","2015/12/01"
"Inicio positivo de la COP21.;Ministro peruano Pulgar Vidal abre encuentro en París, convencido de llegar a un acuerdo completo entre los países presentes para combatir el calentamiento global.","NA","","","publimetro","2015/12/01"
"Neymar nominado al Balón de Oro.;La FIFA anunció a los tres finalistas que disputan el Balón de Oro al mejor futbolista del 2015. Crack brasileño llega por primera vez a esta instancia, junto a los dos ganadores de las últimas siete ediciones.","NA","","","publimetro","2015/12/01"
"Lucha contra el VIH/SIDA.;Hoy se conmemora el Día Mundial de Lucha contra el VIH/Sida, un mal que causa la muerte de 1,2 millones de personas a nivel global. En el Perú, hace falta difundir información.","Karen Espejo","Contenido sobre cifras globales y locales del VIH/Sida, métodos de transmisión, logros en el Perú, inicio de la epidemia, avances médicos.","","publimetro","2015/12/01"
"Premio Nacional de Cultura.;Premier ministerio de Cultura entrega reconocimientos en tres categorías: Trayectoria, Creatividad y Buenas Prácticas Institucionales.","NA","Detalles sobre los ganadores y comentarios de la ministra de Cultura.","","publimetro","2015/12/01"
"Celebración del Día Mundial de Lucha contra el VIH/Sida.;Compañía Uber hará donativos basados en uso de aplicaciones. Detalles adicionales sobre eventos y acciones preventivas en el contexto del Día Mundial de Lucha contra el VIH/Sida.","","","","publimetro","2015/12/01"
"Ataque Zombie en el Correo de Sexta Temporada.;Resumen del episodio final de la sexta temporada de The Walking Dead y detalles sobre regreso en febrero.","NA","","","publimetro","2015/12/01"
"Economía Peruana y Global.;Información sobre el crecimiento económico de la India comparado con China y cómo esto posiciona a la India como la economía de más rápida expansión entre las mayores naciones.","NA","","","publimetro","2015/12/01"
"FMI añade Yuan chino a reserva divisa.;Reconoce el papel creciente de China en la economía mundial sumando el yuan a la lista de divisas clave utilizadas por el FMI.","NA","","","publimetro","2015/12/01"
"Dolarización y Cambios Económicos.;Cambios en las tarifas telefónicas y beneficios derivados de decisiones regulatorias en telecomunicaciones.","NA","","","publimetro","2015/12/01"
