"headline","subheadline","author","content","newspaper","date"
"GANAS/1 OOO Inscripciones disponibles","","","Inscribirse al número proporcionado.","trome","2019/02/09"
"Una joven atrapada por un alud","(AL DÍA) CUIDEMOS EL AGUA","","Mi amigo, el fotógrafo Gary, relató cómo disfrutar del calor requiere moderación en el uso del agua durante el mes de febrero, sugiriendo varias formas prácticas de conservarlo.","trome","2019/02/09"
"Cómo reducir el derroche de agua","","Gary","Aquí tienes algunas sugerencias para optimizar el uso del agua: revisar las tuberías, abrir la llave de la ducha lentamente, evitar el uso de mangueras, limitar el llenado repetido de piscinas, utilizar correctamente la lavadora, mantener el grifo cerrado después de usarlo, colocar ropa adecuada en la lavadora, dejar correr el agua mínimamente al lavar utensilios, y abstenerse de juegos con balones de agua.","trome","2019/02/09"
"Sábado 9 de febrero del 2019","REPORTERO ALERTAS Y DENÚNCIAS AL WHATSAPP","Isabel Lazo, vecino de San Luis","Opinión personal sobre la seguridad relacionada con el manejo de motocicletas y problemas derivados de poseer múltiples animales domésticos en áreas residenciales.","trome","2019/02/09"
"Asalto mortal en Bellavista, Callao","","Edgar Cirilo","Descripción del brutal asalto a César Eduardo Cruz Perea ('Chino Popy') mediante disparos tras una disputa familiar vinculada a obras civiles.","trome","2019/02/09"
"Aprehension de ‘Chego’ por homicidio”;“NA”; “Naomi Salazar”; Carlos Jurado Chávez ('Chego'), implicado en el asesinato de Edgar Berríos Mori para apropiarse ilegalmente de fondos destinados a educación, fue capturado en Los Olivos.""","","","","trome","2019/02/09"
"Investigan hallazgos violentos en diferentes distritos."," ""NA"""," ""NA"""," ""Detalles adicionales sobre incidentes criminales específicos en distintas partes de Lima, incluido el intento fallido de robo en un negocio electrónico y ataques coordinados en sectores populares.""","trome","2019/02/09"
"Sonrisas tras polémica: Tilsa Lozano y Daniela Cilloniz limaron asperezas","NA","NA","Como se recuerda, la ‘Vengadora’ acusó a Cilloniz de romper su confianza porque ésta le pasó el número celular de quien en aquellas circunstancias era su pareja. Hoy ambas aseguran tener buena relación.","trome","2019/02/09"
"Tilsa Lozano aclara visita a despacho legal","NA","NA","'Trabajo con ellos, visito todos mis temas legales, que no tengo que mencionar.' Indicó que envío documentos importantes mediante correspondencia oficial.","trome","2019/02/09"
"Seducida y engañada:","Susy Díaz relató experiencias similares a las de Poly Ávila","NA","‘Empecé a sentirme mal y antes de desmayarme corrí hacia mi habitación.’ Contó cómo sobrevivió gracias a su instinto protector.","trome","2019/02/09"
"Ignacio Baladán encuentra felicidad con Angèle Fole","NA","NA","Ignacio Baladán expresó su alegría encontrando compañía en la estadounidense Angèle Fole, destacando momentos especiales compartidos fuera de Lima.","trome","2019/02/09"
"Erika y Miyashiro revelan intimidades de su boda","Detalles íntimos divulgados en 'rubia noche';","NA","Durante la charla, ambos discutieron cómo obtuvieron permisos urgentes para casarse y conocieron personalidades cercanas apenas unas pocas horas antes de la ceremonia.","trome","2019/02/09"
"Andrea San Martin advierte posible prisión para ex”;Sebastián Lizarzaburu frente a fallo judicial""","NA","San Martín explicó que existe una posibilidad real de que Lizarzabruru enfrente consecuencias penales debido a una decisión judicial relacionada con obligaciones alimenticias pendientes.","","trome","2019/02/09"
